???????: 1, ??????: ????? ?????????????????? ?????????? (M-?), ?????????: ?. ??????, ?????: ?????????? ??? ??????????????????, ??????: -, ???: 13-15, ???????: ?21, ?????: ???????, 
???????: 1, ??????: ????? ?????????????????? ?????????? (M-?), ?????????: ?. ??????, ?????: ?????????? ??? ??????????????????, ??????: -, ???: 9-11, ???????: X, ?????: ?????, 
???????: 1, ??????: ????? ?????????????????? ?????????? (M-?), ?????????: ?. ??????, ?????: ?????????? ??? ??????????????????, ??????: -, ???: 13-15, ???????: ?, ?????: ?????????, 
???????: 1, ??????: ????? ?????????????????? ?????????? (?-?), ?????????: ?.????????, ?????: ?????????? ??? ??????????????????, ??????: -, ???: 11-13, ???????: ?22, ?????: ??????, 
???????: 1, ??????: ????? ?????????????????? ?????????? (?-?), ?????????: ?.????????, ?????: ?????????? ??? ??????????????????, ??????: -, ???: 11-13, ???????: ?, ?????: ?????????, 
???????: 1, ??????: ????? ?????????????????? ?????????? (?-?), ?????????: ?.????????, ?????: ?????????? ??? ??????????????????, ??????: ???????????? (?-?), ???: 9-11, ???????: ?22, ?????: ???????, 
???????: 1, ??????: ?????? ??????, ?????????: ???????, ?????: ?????????? ??? ??????????????????, ??????: -, ???: 19-21, ???????: ?, ?????: ???????, 
???????: 1, ??????: ?????? ??????, ?????????: ???????, ?????: ?????????? ??? ??????????????????, ??????: -, ???: 19-21, ???????: ?, ?????: ??????, 
???????: 1, ??????: ??????????? ??????????? ?-?, ?????????: ?. ???????????? - ?. ???????????, ?????: ?????????? ??? ??????????????????, ??????: -, ???: 11-13, ???????: ?/?1 ?/? 2, ?????: ???????, 
???????: 1, ??????: ??????????? ??????????? ?-?, ?????????: ?. ???????????? - ?. ???????????, ?????: ?????????? ??? ??????????????????, ??????: -, ???: 15-17, ???????: ?/?1 ?/? 2, ?????: ?????????, 
???????: 1, ??????: ??????????? ??????????? ?-?, ?????????: ?. ???????????? - ?. ???????????, ?????: ?????????? ??? ??????????????????, ??????: -, ???: 15-17, ???????: ?/?1 ?/? 2, ?????: ???????, 
???????: 1, ??????: ??????????? ??????????? ?-?, ?????????: ?. ???????????? - ?. ???????????, ?????: ?????????? ??? ??????????????????, ??????: -, ???: 17-19, ???????: ?/?1 ?/? 2, ?????: ?????????, 
???????: 1, ??????: ??????????? ???????? ?? ????????????? ?????????? ?-?, ?????????: ?. ????????, ?????: ?????????? ??? ??????????????????, ??????: -, ???: 17-19, ???????: ?, ?????: ???????, 
???????: 1, ??????: ??????????? ???????? ?? ????????????? ?????????? ?-?, ?????????: ?. ????????, ?????: ?????????? ??? ??????????????????, ??????: -, ???: 15-17, ???????: ??, ?????: ??????, 
???????: 1, ??????: ??????????? ???????? ?? ????????????? ?????????? ?-?, ?????????: ?. ?????????, ?????: ?????????? ??? ??????????????????, ??????: -, ???: 11-13, ???????: ?, ?????: ?????, 
???????: 1, ??????: ??????????? ???????? ?? ????????????? ?????????? ?-?, ?????????: ?. ?????????, ?????: ?????????? ??? ??????????????????, ??????: -, ???: 13-15, ???????: ?11, ?????: ???????, 
