ΕΞΑΜΗΝΟ, ΜΑΘΗΜΑ, ΚΑΘΗΓΗΤΗΣ, ΤΜΗΜΑ, ΣΧΟΛΙΑ, ΩΡΑ, ΑΙΘΟΥΣΑ, ΗΜΕΡΑ
1, ΕΙΣΑΓΩΓΗ ΣΤΗ ΔΙΟΙΚΗΣΗ ΕΠΙΧΕΙΡΗΣΕΩΝ, Ι.ΣΠΑΝΟΣ, Διοικητικής Επιστήμης και Τεχνολογίας, -, 15-17, Α31, Δευτέρα
1, ΕΙΣΑΓΩΓΗ ΣΤΗ ΔΙΟΙΚΗΣΗ ΕΠΙΧΕΙΡΗΣΕΩΝ, Ι.ΣΠΑΝΟΣ, Διοικητικής Επιστήμης και Τεχνολογίας, -, 15-17, Α31, Τετάρτη
1, ΕΙΣΑΓΩΓΗ ΣΤΗΝ ΠΛΗΡΟΦΟΡΙΚΗ , Γ. ΓΙΑΓΛΗΣ, Διοικητικής Επιστήμης και Τεχνολογίας, ΦΡΟΝΤΙΣΤΗΡΙΟ, 17-19, Α31, Δευτέρα
1, ΕΙΣΑΓΩΓΗ ΣΤΗΝ ΠΛΗΡΟΦΟΡΙΚΗ , Γ. ΓΙΑΓΛΗΣ, Διοικητικής Επιστήμης και Τεχνολογίας, -, 11-13, Α21, Παρασκευή
1, ΕΙΣΑΓΩΓΗ ΣΤΗΝ ΠΛΗΡΟΦΟΡΙΚΗ , Γ. ΓΙΑΓΛΗΣ, Διοικητικής Επιστήμης και Τεχνολογίας, -, 13-15, Α21, Παρασκευή
1, ΕΙΣΑΓΩΓΗ ΣΤΟ ΜΑΡΚΕΤΙΝΓΚ, Α. ΒΡΕΧΟΠΟΥΛΟΣ, Διοικητικής Επιστήμης και Τεχνολογίας, -, 11-13, Α31, Τρίτη
1, ΕΙΣΑΓΩΓΗ ΣΤΟ ΜΑΡΚΕΤΙΝΓΚ, Α. ΒΡΕΧΟΠΟΥΛΟΣ, Διοικητικής Επιστήμης και Τεχνολογίας, -, 11-13, Δο, Πέμπτη
1, ΛΟΓΙΣΤΙΚΗ Ι, Α.ΠΑΠΑΔΑΚΗ, Διοικητικής Επιστήμης και Τεχνολογίας, ΦΡΟΝΤΙΣΤΗΡΙΟ, 13-15, Α31, Τρίτη
1, ΛΟΓΙΣΤΙΚΗ Ι, Α.ΠΑΠΑΔΑΚΗ, Διοικητικής Επιστήμης και Τεχνολογίας, -, 9-11, Δο, Πέμπτη
1, ΛΟΓΙΣΤΙΚΗ Ι, Α.ΠΑΠΑΔΑΚΗ, Διοικητικής Επιστήμης και Τεχνολογίας, -, 9-11, Α21, Παρασκευή
1, ΜΑΘΗΜΑΤΙΚΑ  Ι, ΚΡΗΤΙΚΟΣ, Διοικητικής Επιστήμης και Τεχνολογίας, ΦΡΟΝΤΙΣΤΗΡΙΟ (Α-Λ), 9-11, Η/Υ1 Η/Υ 2, Δευτέρα
1, ΜΑΘΗΜΑΤΙΚΑ  Ι, ΚΡΗΤΙΚΟΣ, Διοικητικής Επιστήμης και Τεχνολογίας, ΦΡΟΝΤΙΣΤΗΡΙΟ (Μ-Ω), 11-13, Η/Υ 3, Δευτέρα
1, ΜΑΘΗΜΑΤΙΚΑ  Ι, ΚΡΗΤΙΚΟΣ, Διοικητικής Επιστήμης και Τεχνολογίας, -, 9-11, Α31, Τρίτη
1, ΜΑΘΗΜΑΤΙΚΑ  Ι, ΚΡΗΤΙΚΟΣ, Διοικητικής Επιστήμης και Τεχνολογίας, ΦΡΟΝΤΙΣΤΗΡΙΟ, 13-15, Δο, Τετάρτη
1, ΜΑΘΗΜΑΤΙΚΑ  Ι, ΚΡΗΤΙΚΟΣ, Διοικητικής Επιστήμης και Τεχνολογίας, -, 13-15, Δο, Πέμπτη
3,  ΒΑΣΕΙΣ ΔΕΔΟΜΕΝΩΝ, Δ. ΧΑΤΖΗΑΝΤΩΝΙΟΥ, Διοικητικής Επιστήμης και Τεχνολογίας, -, 11-13, Δο, Τετάρτη
3,  ΒΑΣΕΙΣ ΔΕΔΟΜΕΝΩΝ, Δ. ΧΑΤΖΗΑΝΤΩΝΙΟΥ, Διοικητικής Επιστήμης και Τεχνολογίας, ΦΡΟΝΤΙΣΤΗΡΙΟ, 13-15, A44, Τετάρτη
3,  ΒΑΣΕΙΣ ΔΕΔΟΜΕΝΩΝ, Δ. ΧΑΤΖΗΑΝΤΩΝΙΟΥ, Διοικητικής Επιστήμης και Τεχνολογίας, -, 9-11, Δ23, Παρασκευή
3, ΛΗΨΗ ΕΠΙΧΕΙΡΗΜΑΤΙΚΩΝ ΑΠΟΦΑΣΕΩΝ, Ε. ΚΡΗΤΙΚΟΣ, Διοικητικής Επιστήμης και Τεχνολογίας, -, 11-13, Δ23, Τρίτη
3, ΛΗΨΗ ΕΠΙΧΕΙΡΗΜΑΤΙΚΩΝ ΑΠΟΦΑΣΕΩΝ, Ε. ΚΡΗΤΙΚΟΣ, Διοικητικής Επιστήμης και Τεχνολογίας, -, 9-11, Δο, Τετάρτη
3, ΛΗΨΗ ΕΠΙΧΕΙΡΗΜΑΤΙΚΩΝ ΑΠΟΦΑΣΕΩΝ, Ε. ΚΡΗΤΙΚΟΣ, Διοικητικής Επιστήμης και Τεχνολογίας, ΦΡΟΝΤΙΣΤΗΡΙΟ (Α-Λ), 9-11, Η/Υ 3, Πέμπτη
3, ΛΗΨΗ ΕΠΙΧΕΙΡΗΜΑΤΙΚΩΝ ΑΠΟΦΑΣΕΩΝ, Ε. ΚΡΗΤΙΚΟΣ, Διοικητικής Επιστήμης και Τεχνολογίας, ΦΡΟΝΤΙΣΤΗΡΙΟ (Μ-Ω), 11-13, Η/Υ 3, Πέμπτη
3, ΟΡΓΑΝΩΣΙΑΚΗ ΣΥΜΠΕΡΙΦΟΡΑ ΚΑΙ ΗΓΕΣΙΑ, Δ. ΜΠΟΥΡΑΝΤΑΣ, Διοικητικής Επιστήμης και Τεχνολογίας, -, 11-13, Δο, Δευτέρα
3, ΟΡΓΑΝΩΣΙΑΚΗ ΣΥΜΠΕΡΙΦΟΡΑ ΚΑΙ ΗΓΕΣΙΑ, Δ. ΜΠΟΥΡΑΝΤΑΣ, Διοικητικής Επιστήμης και Τεχνολογίας, -, 13-15, Δ23, Τρίτη
3, ΠΟΣΟΤΙΚΕΣ ΜΕΘΟΔΟΙ ΣΤΗΝ ΟΙΚΟΝΟΜΙΑ ΚΑΙ ΤΗΝ ΔΙΟΙΚΗΣΗ ΙΙ, Ν. ΔΕΜΙΡΗΣ, Διοικητικής Επιστήμης και Τεχνολογίας, -, 9-11, Α23, Τρίτη
