ΕΞΑΜΗΝΟ, ΜΑΘΗΜΑ, ΚΑΘΗΓΗΤΗΣ, ΤΜΗΜΑ, ΣΧΟΛΙΑ, ΩΡΑ, ΑΙΘΟΥΣΑ, ΗΜΕΡΑ
1, ΑΡΧΕΣ ΧΡΗΜΑΤΟΟΙΚΟΝΟΜΙΚΗΣ ΛΟΓΙΣΤΙΚΗΣ (M-Ω), Δ. ΓΚΙΚΑΣ, Λογιστικής και Χρηματοοικονομικής, -, 13-15, Δ24, Δευτέρα
1, ΑΡΧΕΣ ΧΡΗΜΑΤΟΟΙΚΟΝΟΜΙΚΗΣ ΛΟΓΙΣΤΙΚΗΣ (M-Ω), Δ. ΓΚΙΚΑΣ, Λογιστικής και Χρηματοοικονομικής, ΦΡΟΝΤΙΣΤΗΡΙΟ (Μ-Ω), 9-11, Δ12, Τρίτη
1, ΑΡΧΕΣ ΧΡΗΜΑΤΟΟΙΚΟΝΟΜΙΚΗΣ ΛΟΓΙΣΤΙΚΗΣ (M-Ω), Δ. ΓΚΙΚΑΣ, Λογιστικής και Χρηματοοικονομικής, -, 13-15, Γ, Παρασκευή
1, ΑΡΧΕΣ ΧΡΗΜΑΤΟΟΙΚΟΝΟΜΙΚΗΣ ΛΟΓΙΣΤΙΚΗΣ (Α-Λ), Α.ΠΑΠΑΔΑΚΗ, Λογιστικής και Χρηματοοικονομικής, ΦΡΟΝΤΙΣΤΗΡΙΟ (Α-Λ), 9-11, Δ23, Δευτέρα
1, ΑΡΧΕΣ ΧΡΗΜΑΤΟΟΙΚΟΝΟΜΙΚΗΣ ΛΟΓΙΣΤΙΚΗΣ (Α-Λ), Α.ΠΑΠΑΔΑΚΗ, Λογιστικής και Χρηματοοικονομικής, -, 11-13, Δ23, Πέμπτη
1, ΑΡΧΕΣ ΧΡΗΜΑΤΟΟΙΚΟΝΟΜΙΚΗΣ ΛΟΓΙΣΤΙΚΗΣ (Α-Λ), Α.ΠΑΠΑΔΑΚΗ, Λογιστικής και Χρηματοοικονομικής, -, 11-13, Γ, Παρασκευή
1, ΑΣΤΙΚΟ ΔΙΚΑΙΟ, ΣΤΡΑΝΗΣ, Λογιστικής και Χρηματοοικονομικής, -, 19-21, Γ, Δευτέρα
1, ΑΣΤΙΚΟ ΔΙΚΑΙΟ, ΣΤΡΑΝΗΣ, Λογιστικής και Χρηματοοικονομικής, -, 19-21, Β, Πέμπτη
1, ΕΦΑΡΜΟΣΜΕΝΗ ΠΛΗΡΟΦΟΡΙΚΗ Α-Λ, Γ. Χαλαμανδάρης - Κ. Βασιλειάδης, Λογιστικής και Χρηματοοικονομικής, -, 11-13, Η/Υ1 Η/Υ 2, Δευτέρα
1, ΕΦΑΡΜΟΣΜΕΝΗ ΠΛΗΡΟΦΟΡΙΚΗ Α-Λ, Γ. Χαλαμανδάρης - Κ. Βασιλειάδης, Λογιστικής και Χρηματοοικονομικής, -, 15-17, Η/Υ1 Η/Υ 2, Παρασκευή
1, ΕΦΑΡΜΟΣΜΕΝΗ ΠΛΗΡΟΦΟΡΙΚΗ Μ-Ω, Γ. Χαλαμανδάρης - Κ. Βασιλειάδης, Λογιστικής και Χρηματοοικονομικής, -, 15-17, Η/Υ1 Η/Υ 2, Δευτέρα
1, ΕΦΑΡΜΟΣΜΕΝΗ ΠΛΗΡΟΦΟΡΙΚΗ Μ-Ω, Γ. Χαλαμανδάρης - Κ. Βασιλειάδης, Λογιστικής και Χρηματοοικονομικής, -, 17-19, Η/Υ1 Η/Υ 2, Παρασκευή
1, ΜΑΘΗΜΑΤΙΚΟΣ ΛΟΓΙΣΜΟΣ ΣΕ ΕΠΙΧΕΙΡΗΣΙΑΚΑ ΠΡΟΒΛΗΜΑΤΑ Α-Λ, Σ. ΜΠΕΚΙΡΟΣ, Λογιστικής και Χρηματοοικονομικής, -, 17-19, Γ, Τετάρτη
