ΕΞΑΜΗΝΟ, ΜΑΘΗΜΑ, ΚΑΘΗΓΗΤΗΣ, ΤΜΗΜΑ, ΣΧΟΛΙΑ, ΩΡΑ, ΑΙΘΟΥΣΑ, ΗΜΕΡΑ
1, ΕΙΣΑΓΩΓΗ ΣΤΗ ΔΙΟΙΚΗΣΗ  ΕΠΙΧΕΙΡΗΣΕΩΝ, ΝΙΚΑΝΔΡΟΥ , Μάρκετινγκ και Επικοινωνίας, -, 15-17, Α21, Τετάρτη
1, ΕΙΣΑΓΩΓΗ ΣΤΗ ΔΙΟΙΚΗΣΗ  ΕΠΙΧΕΙΡΗΣΕΩΝ, ΝΙΚΑΝΔΡΟΥ , Μάρκετινγκ και Επικοινωνίας, -, 17-19, Α21, Τετάρτη
1, ΕΙΣΑΓΩΓΗ ΣΤΟ ΜΑΡΚΕΤΙΝΓΚ, Σ. ΔΗΜΗΤΡΙΑΔΗΣ, Μάρκετινγκ και Επικοινωνίας, -, 13-15, Δο, Δευτέρα
1, ΕΙΣΑΓΩΓΗ ΣΤΟ ΜΑΡΚΕΤΙΝΓΚ, Σ. ΔΗΜΗΤΡΙΑΔΗΣ, Μάρκετινγκ και Επικοινωνίας, -, 15-17, Β, Τρίτη
1, ΕΙΣΑΓΩΓΗ ΣΤΟ ΜΑΡΚΕΤΙΝΓΚ, Σ. ΔΗΜΗΤΡΙΑΔΗΣ, Μάρκετινγκ και Επικοινωνίας, -, 13-15, Δ12, Παρασκευή
1, ΠΟΣΟΤΙΚΕΣ ΜΕΘΟΔΟΙ Ι, Μ. ΨΙΛΟΥΤΣΙΚΟΥ, Μάρκετινγκ και Επικοινωνίας, -, 15-17, Α21, Δευτέρα
1, ΠΟΣΟΤΙΚΕΣ ΜΕΘΟΔΟΙ Ι, Μ. ΨΙΛΟΥΤΣΙΚΟΥ, Μάρκετινγκ και Επικοινωνίας, -, 15-17, Β, Παρασκευή
1, Ποσοτικές Μέθοδοι Ι  SPSS(Μ-Ω), Η. ΜΠΑΛΑΦΟΥΤΗΣ, Μάρκετινγκ και Επικοινωνίας, -, 13-15, Η/Υ 3, Τετάρτη
1, Ποσοτικές Μέθοδοι Ι SPSS (Α-Λ), Η. ΜΠΑΛΑΦΟΥΤΗΣ, Μάρκετινγκ και Επικοινωνίας, -, 11-13, Η/Υ 3, Τετάρτη
1, ΨΥΧΟΛΟΓΙΑ, ΚΟΚΚΙΝΑΚΗ - Π.Δ. 407, Μάρκετινγκ και Επικοινωνίας, -, 17-19, Δ24, Δευτέρα
1, ΨΥΧΟΛΟΓΙΑ, ΚΟΚΚΙΝΑΚΗ - Π.Δ. 407, Μάρκετινγκ και Επικοινωνίας, -, 11-13, Δ24, Τρίτη
3, ΔΙΑΦΗΜΙΣΗ,  Φ. ΚΟΚΚΙΝΑΚΗ - Α. ΕΥΑΓΓΕΛΑΤΟΣ, Μάρκετινγκ και Επικοινωνίας, ΦΡΟΝΤΙΣΤΗΡΙΟ, 13-15, Α23, Τρίτη
3, ΔΙΑΦΗΜΙΣΗ,  Φ. ΚΟΚΚΙΝΑΚΗ - Α. ΕΥΑΓΓΕΛΑΤΟΣ, Μάρκετινγκ και Επικοινωνίας, -, 11-13, Β, Πέμπτη
3, ΔΙΑΦΗΜΙΣΗ,  Φ. ΚΟΚΚΙΝΑΚΗ - Α. ΕΥΑΓΓΕΛΑΤΟΣ, Μάρκετινγκ και Επικοινωνίας, -, 13-15, Β, Πέμπτη
