ΕΞΑΜΗΝΟ, ΜΑΘΗΜΑ, ΚΑΘΗΓΗΤΗΣ, ΤΜΗΜΑ, ΣΧΟΛΙΑ, ΩΡΑ, ΑΙΘΟΥΣΑ, ΗΜΕΡΑ
1, Tutorials ΜΙΚΡΟΟΙΚΟΝΟΜΙΚΗΣ Ι, ΠΔ 407/80, Διεθνών και Ευρωπαϊκών Οικονομικών Σπουδών, -, 15-17, A44, Τρίτη
1, Tutorials ΜΙΚΡΟΟΙΚΟΝΟΜΙΚΗΣ Ι, ΠΔ 407/80, Διεθνών και Ευρωπαϊκών Οικονομικών Σπουδών, -, 17-19, Α23, Τρίτη
1, Tutorials ΜΙΚΡΟΟΙΚΟΝΟΜΙΚΗΣ Ι, ΠΔ 407/80, Διεθνών και Ευρωπαϊκών Οικονομικών Σπουδών, -, 17-19, Α22, Τρίτη
1, Tutorials ΜΙΚΡΟΟΙΚΟΝΟΜΙΚΗΣ Ι, ΠΔ 407/80, Διεθνών και Ευρωπαϊκών Οικονομικών Σπουδών, -, 13-15, Δ102, Παρασκευή
1, ΕΙΣΑΓΩΓΗ ΣΤΗΝ ΠΟΛΙΤΙΚΗ ΚΑΙ ΤΙΣ ΔΙΕΘΝΕΙΣ ΣΧΕΣΕΙΣ, Σ. ΜΠΛΑΒΟΥΚΟΣ, Διεθνών και Ευρωπαϊκών Οικονομικών Σπουδών, -, 9-11, Δ24, Τρίτη
1, ΕΙΣΑΓΩΓΗ ΣΤΗΝ ΠΟΛΙΤΙΚΗ ΚΑΙ ΤΙΣ ΔΙΕΘΝΕΙΣ ΣΧΕΣΕΙΣ, Σ. ΜΠΛΑΒΟΥΚΟΣ, Διεθνών και Ευρωπαϊκών Οικονομικών Σπουδών, -, 13-15, Α21, Πέμπτη
1, ΜΑΘΗΜΑΤΙΚΑ Ι, ΝΤΕΜΟΣ, Διεθνών και Ευρωπαϊκών Οικονομικών Σπουδών, -, 11-13, Α21, Δευτέρα
1, ΜΑΘΗΜΑΤΙΚΑ Ι, ΝΤΕΜΟΣ, Διεθνών και Ευρωπαϊκών Οικονομικών Σπουδών, ΦΡΟΝΤΙΣΤΗΡΙΟ, 19-21, Α21, Τρίτη
1, ΜΑΘΗΜΑΤΙΚΑ Ι, ΝΤΕΜΟΣ, Διεθνών και Ευρωπαϊκών Οικονομικών Σπουδών, -, 11-13, Δο, Παρασκευή
1, ΜΙΚΡΟΟΙΚΟΝΟΜΙΚΗ Ι, ΤΣΑΚΛΟΓΛΟΥ, Διεθνών και Ευρωπαϊκών Οικονομικών Σπουδών, -, 9-11, Α21, Πέμπτη
1, ΜΙΚΡΟΟΙΚΟΝΟΜΙΚΗ Ι, ΤΣΑΚΛΟΓΛΟΥ, Διεθνών και Ευρωπαϊκών Οικονομικών Σπουδών, -, 9-11, Δ24, Παρασκευή
1, ΜΙΚΡΟΟΙΚΟΝΟΜΙΚΗ Ι, ΤΣΑΚΛΟΓΛΟΥ, Διεθνών και Ευρωπαϊκών Οικονομικών Σπουδών, ΦΡΟΝΤΙΣΤΗΡΙΟ, 17-19, Δ23, Παρασκευή
1, ΟΙΚΟΝΟΜΙΚΟ ΔΙΚΑΙΟ, ΠΛΙΑΚΟΣ , Διεθνών και Ευρωπαϊκών Οικονομικών Σπουδών, -, 13-15, Δ24, Τρίτη
1, ΟΙΚΟΝΟΜΙΚΟ ΔΙΚΑΙΟ, ΠΛΙΑΚΟΣ , Διεθνών και Ευρωπαϊκών Οικονομικών Σπουδών, -, 11-13, Α21, Πέμπτη
1, ΧΡΗΜΑΤΟΟΙΚΟΝΟΜΙΚΗ ΛΟΓΙΣΤΙΚΗ , Ε. Δεμοιράκος, Διεθνών και Ευρωπαϊκών Οικονομικών Σπουδών, -, 13-15, Α21, Δευτέρα
1, ΧΡΗΜΑΤΟΟΙΚΟΝΟΜΙΚΗ ΛΟΓΙΣΤΙΚΗ , Ε. Δεμοιράκος, Διεθνών και Ευρωπαϊκών Οικονομικών Σπουδών, -, 11-13, Α22, Τρίτη
3,  ΔΙΕΘΝΕΣ  ΟΙΚΟΝΟΜΙΚΟ ΔΙΚΑΙΟ, ΚΑΡΥΔΗΣ, Διεθνών και Ευρωπαϊκών Οικονομικών Σπουδών, -, 13-15, Α25, Δευτέρα
