ΕΞΑΜΗΝΟ, ΜΑΘΗΜΑ, ΚΑΘΗΓΗΤΗΣ, ΤΜΗΜΑ, ΣΧΟΛΙΑ, ΩΡΑ, ΑΙΘΟΥΣΑ, ΗΜΕΡΑ
1, Αστικό Δίκαιο (Αστικό Δίκαιο Ι)  Α-Λ, Τρούλη, Οργάνωσης και Διοίκησης Επιχειρήσεων, -, 11-13, Γ, Δευτέρα
1, Αστικό Δίκαιο (Αστικό Δίκαιο Ι)  Α-Λ, Τρούλη, Οργάνωσης και Διοίκησης Επιχειρήσεων, -, 13-15, Γ, Τετάρτη
1, Αστικό Δίκαιο (Αστικό Δίκαιο Ι)  Μ-Ω, Τρούλη, Οργάνωσης και Διοίκησης Επιχειρήσεων, -, 13-15, Γ, Δευτέρα
1, Αστικό Δίκαιο (Αστικό Δίκαιο Ι)  Μ-Ω, Τρούλη, Οργάνωσης και Διοίκησης Επιχειρήσεων, -, 15-17, X, Τετάρτη
1, Μικροοικονομική Ι Α-Λ, ΜΠΟΥΡΛΑΚΗΣ, Οργάνωσης και Διοίκησης Επιχειρήσεων, -, 9-11, Α31, Δευτέρα
1, Μικροοικονομική Ι Α-Λ, ΜΠΟΥΡΛΑΚΗΣ, Οργάνωσης και Διοίκησης Επιχειρήσεων, -, 9-11, Α31, Τετάρτη
1, Μικροοικονομική Ι Μ-Ω, ΜΠΟΥΡΛΑΚΗΣ, Οργάνωσης και Διοίκησης Επιχειρήσεων, -, 13-15, Α31, Τετάρτη
1, Μικροοικονομική Ι Μ-Ω, ΜΠΟΥΡΛΑΚΗΣ, Οργάνωσης και Διοίκησης Επιχειρήσεων, -, 17-19, Α31, Πέμπτη
1, Οικονομική Επιχειρήσεων Α-Λ, ΠΑΠΑΛΕΞΑΝΔΡΗΣ, Οργάνωσης και Διοίκησης Επιχειρήσεων, -, 11-13, Α, Τετάρτη
1, Οικονομική Επιχειρήσεων Α-Λ, ΠΑΠΑΛΕΞΑΝΔΡΗΣ, Οργάνωσης και Διοίκησης Επιχειρήσεων, -, 11-13, Γ, Πέμπτη
1, Οικονομική των Επιχειρήσεων Μ-Ω, Παν. Υπότροφος, Οργάνωσης και Διοίκησης Επιχειρήσεων, -, 11-13, Α, Δευτέρα
1, Οικονομική των Επιχειρήσεων Μ-Ω, Παν. Υπότροφος, Οργάνωσης και Διοίκησης Επιχειρήσεων, -, 13-15, Αμφ.Δεριγνύ, Τρίτη
1, Ποσοτικές Μέθοδοι Ι (Α-Λ), Παν. Υπότροφος, Οργάνωσης και Διοίκησης Επιχειρήσεων, -, 17-19, X, Τετάρτη
1, Ποσοτικές Μέθοδοι Ι (Α-Λ), Παν. Υπότροφος, Οργάνωσης και Διοίκησης Επιχειρήσεων, -, 13-15, Γ, Πέμπτη
1, Ποσοτικές Μέθοδοι Ι (Μ-Ω), Παν. Υπότροφος, Οργάνωσης και Διοίκησης Επιχειρήσεων, -, 15-17, X, Πέμπτη
1, Ποσοτικές Μέθοδοι Ι (Μ-Ω), Παν. Υπότροφος, Οργάνωσης και Διοίκησης Επιχειρήσεων, -, 17-19, Α31, Παρασκευή
1, Ποσοτικές Μέθοδοι Ι Α-Ω , Π.Δ. 407, Οργάνωσης και Διοίκησης Επιχειρήσεων, ΦΡΟΝΤΙΣΤΗΡΙΟ, 15-17, Α31, Παρασκευή
3, Εισαγωγή στη Χρηματοοικονομική Λογιστική (Λογιστική Ι) Α-Λ, Δεδούλης, Οργάνωσης και Διοίκησης Επιχειρήσεων, -, 9-11, Α, Πέμπτη
3, Εισαγωγή στη Χρηματοοικονομική Λογιστική (Λογιστική Ι) Α-Λ, Δεδούλης, Οργάνωσης και Διοίκησης Επιχειρήσεων, -, 9-11, Αμφ.Δεριγνύ, Παρασκευή
3, Εισαγωγή στη Χρηματοοικονομική Λογιστική (Λογιστική Ι) Μ-Ω, Δεδούλης Μ., Οργάνωσης και Διοίκησης Επιχειρήσεων, -, 11-13, Α, Πέμπτη
3, Εισαγωγή στη Χρηματοοικονομική Λογιστική (Λογιστική Ι) Μ-Ω, Δεδούλης Μ., Οργάνωσης και Διοίκησης Επιχειρήσεων, -, 11-13, Αμφ.Δεριγνύ, Παρασκευή
