ΕΞΑΜΗΝΟ, ΜΑΘΗΜΑ, ΚΑΘΗΓΗΤΗΣ, ΤΜΗΜΑ, ΣΧΟΛΙΑ, ΩΡΑ, ΑΙΘΟΥΣΑ, ΗΜΕΡΑ
1, ΔΙΑΚΡΙΤΑ ΜΑΘΗΜΑΤΙΚΑ, Π.ΚΑΤΕΡΙΝΗΣ, Πληροφορικής, -, 13-15, Β, Δευτέρα
1, ΔΙΑΚΡΙΤΑ ΜΑΘΗΜΑΤΙΚΑ, Π.ΚΑΤΕΡΙΝΗΣ, Πληροφορικής, ΦΡΟΝΤΙΣΤΗΡΙΟ, 9-11, Β, Πέμπτη
1, ΔΙΑΚΡΙΤΑ ΜΑΘΗΜΑΤΙΚΑ, Π.ΚΑΤΕΡΙΝΗΣ, Πληροφορικής, -, 11-13, Β, Παρασκευή
1, ΕΙΣΑΓΩΓΗ ΣΤΗΝ ΕΠΙΣΤΗΜΗ ΥΠΟΛΟΓΙΣΤΩΝ, Ι. ΚΟΥΤΣΟΠΟΥΛΟΣ, Πληροφορικής, -, 11-13, Β, Τετάρτη
1, ΕΙΣΑΓΩΓΗ ΣΤΗΝ ΕΠΙΣΤΗΜΗ ΥΠΟΛΟΓΙΣΤΩΝ, Ι. ΚΟΥΤΣΟΠΟΥΛΟΣ, Πληροφορικής, -, 15-17, Β, Τετάρτη
1, ΕΙΣΑΓΩΓΗ ΣΤΗΝ ΕΠΙΣΤΗΜΗ ΥΠΟΛΟΓΙΣΤΩΝ, Ι. ΚΟΥΤΣΟΠΟΥΛΟΣ, Πληροφορικής, ΦΡΟΝΤΙΣΤΗΡΙΟ, 19-21, CSLAB 2, Τετάρτη
1, ΕΙΣΑΓΩΓΗ ΣΤΗΝ ΕΠΙΣΤΗΜΗ ΥΠΟΛΟΓΙΣΤΩΝ, Ι. ΚΟΥΤΣΟΠΟΥΛΟΣ, Πληροφορικής, ΦΡΟΝΤΙΣΤΗΡΙΟ, 19-21, CSLAB 2, Πέμπτη
1, ΕΙΣΑΓΩΓΗ ΣΤΗΝ ΕΠΙΣΤΗΜΗ ΥΠΟΛΟΓΙΣΤΩΝ, Ι. ΚΟΥΤΣΟΠΟΥΛΟΣ, Πληροφορικής, ΦΡΟΝΤΙΣΤΗΡΙΟ, 13-15, CSLAB 2, Πέμπτη
1, ΕΙΣΑΓΩΓΗ ΣΤΗΝ ΕΠΙΣΤΗΜΗ ΥΠΟΛΟΓΙΣΤΩΝ, Ι. ΚΟΥΤΣΟΠΟΥΛΟΣ, Πληροφορικής, ΦΡΟΝΤΙΣΤΗΡΙΟ, 15-17, CSLAB 2, Πέμπτη
1, ΕΙΣΑΓΩΓΗ ΣΤΗΝ ΕΠΙΣΤΗΜΗ ΥΠΟΛΟΓΙΣΤΩΝ, Ι. ΚΟΥΤΣΟΠΟΥΛΟΣ, Πληροφορικής, -, 13-15, Β, Παρασκευή
1, ΕΙΣΑΓΩΓΗ ΣΤΗΝ ΟΙΚΟΝΟΜΙΚΗ ΕΠΙΣΤΗΜΗ, Σ.ΔΗΜΕΛΗ, Πληροφορικής, -, 15-17, Β, Δευτέρα
1, ΕΙΣΑΓΩΓΗ ΣΤΗΝ ΟΙΚΟΝΟΜΙΚΗ ΕΠΙΣΤΗΜΗ, Σ.ΔΗΜΕΛΗ, Πληροφορικής, ΦΡΟΝΤΙΣΤΗΡΙΟ, 17-19, Β, Δευτέρα
1, ΕΙΣΑΓΩΓΗ ΣΤΗΝ ΟΙΚΟΝΟΜΙΚΗ ΕΠΙΣΤΗΜΗ, Σ.ΔΗΜΕΛΗ, Πληροφορικής, -, 13-15, Β, Τρίτη
1, ΕΙΣΑΓΩΓΗ ΣΤΟΝ ΠΡΟΓΡΑΜΜΑΤΙΣΜΟ ΥΠΟΛΟΓΙΣΤΩΝ, Μ. ΤΙΤΣΙΑΣ, Πληροφορικής, ΦΡΟΝΤΙΣΤΗΡΙΟ, 11-13, CSLAB 2, Δευτέρα
1, ΕΙΣΑΓΩΓΗ ΣΤΟΝ ΠΡΟΓΡΑΜΜΑΤΙΣΜΟ ΥΠΟΛΟΓΙΣΤΩΝ, Μ. ΤΙΤΣΙΑΣ, Πληροφορικής, -, 9-11, Β, Τρίτη
1, ΕΙΣΑΓΩΓΗ ΣΤΟΝ ΠΡΟΓΡΑΜΜΑΤΙΣΜΟ ΥΠΟΛΟΓΙΣΤΩΝ, Μ. ΤΙΤΣΙΑΣ, Πληροφορικής, ΦΡΟΝΤΙΣΤΗΡΙΟ, 15-17, CSLAB 2, Τρίτη
1, ΕΙΣΑΓΩΓΗ ΣΤΟΝ ΠΡΟΓΡΑΜΜΑΤΙΣΜΟ ΥΠΟΛΟΓΙΣΤΩΝ, Μ. ΤΙΤΣΙΑΣ, Πληροφορικής, ΦΡΟΝΤΙΣΤΗΡΙΟ, 17-19, CSLAB 1, Τετάρτη
1, ΕΙΣΑΓΩΓΗ ΣΤΟΝ ΠΡΟΓΡΑΜΜΑΤΙΣΜΟ ΥΠΟΛΟΓΙΣΤΩΝ, Μ. ΤΙΤΣΙΑΣ, Πληροφορικής, ΦΡΟΝΤΙΣΤΗΡΙΟ, 11-13, CSLAB 1, Πέμπτη
1, ΕΙΣΑΓΩΓΗ ΣΤΟΝ ΠΡΟΓΡΑΜΜΑΤΙΣΜΟ ΥΠΟΛΟΓΙΣΤΩΝ, Μ. ΤΙΤΣΙΑΣ, Πληροφορικής, ΦΡΟΝΤΙΣΤΗΡΙΟ, 13-15, CSLAB 1, Πέμπτη
1, ΕΙΣΑΓΩΓΗ ΣΤΟΝ ΠΡΟΓΡΑΜΜΑΤΙΣΜΟ ΥΠΟΛΟΓΙΣΤΩΝ, Μ. ΤΙΤΣΙΑΣ, Πληροφορικής, ΦΡΟΝΤΙΣΤΗΡΙΟ, 15-17, Η/Υ1 Η/Υ 2, Πέμπτη
