ΕΞΑΜΗΝΟ, ΜΑΘΗΜΑ, ΚΑΘΗΓΗΤΗΣ, ΤΜΗΜΑ, ΣΧΟΛΙΑ, ΩΡΑ, ΑΙΘΟΥΣΑ, ΗΜΕΡΑ
1, ΓΡΑΜΜΙΚΗ ΑΛΓΕΒΡΑ Ι, Ε. Ιωαννίδης, Στατιστικής, -, 11-13, Δ22, Δευτέρα
1, ΓΡΑΜΜΙΚΗ ΑΛΓΕΒΡΑ Ι, Ε. Ιωαννίδης, Στατιστικής, ΦΡΟΝΤΙΣΤΗΡΙΟ, 11-13, Α32, Τρίτη
1, ΓΡΑΜΜΙΚΗ ΑΛΓΕΒΡΑ Ι, Ε. Ιωαννίδης, Στατιστικής, -, 11-13, Δ22, Πέμπτη
1, ΕΙΣΑΓΩΓΗ ΣΤΟΝ ΠΡΟΓΡΑΜΜΑΤΙΣΜΟ ΜΕ R, Ι. Ντζούφρας, Στατιστικής, -, 9-11, Δ22, Δευτέρα
1, ΕΙΣΑΓΩΓΗ ΣΤΟΝ ΠΡΟΓΡΑΜΜΑΤΙΣΜΟ ΜΕ R, Ι. Ντζούφρας, Στατιστικής, -, 9-11, Α24, Τρίτη
1, ΕΙΣΑΓΩΓΗ ΣΤΟΝ ΠΡΟΓΡΑΜΜΑΤΙΣΜΟ ΜΕ R, Ι. Ντζούφρας, Στατιστικής, ΦΡΟΝΤΙΣΤΗΡΙΟ, 13-15, Εργ-Στατ/κής 3ος Αντωνιάδ, Τετάρτη
1, ΕΙΣΑΓΩΓΗ ΣΤΟΝ ΠΡΟΓΡΑΜΜΑΤΙΣΜΟ ΜΕ R, Ι. Ντζούφρας, Στατιστικής, ΦΡΟΝΤΙΣΤΗΡΙΟ, 11-13, Εργ-Στατ/κής 3ος Αντωνιάδ, Παρασκευή
1, ΕΙΣΑΓΩΓΗ ΣΤΟΝ ΠΡΟΓΡΑΜΜΑΤΙΣΜΟ ΜΕ R, Ι. Ντζούφρας, Στατιστικής, ΦΡΟΝΤΙΣΤΗΡΙΟ, 13-15, Εργ-Στατ/κής 3ος Αντωνιάδ, Παρασκευή
1, ΜΑΘΗΜΑΤΙΚΟΣ ΛΟΓΙΣΜΟΣ Ι, Α. Ζυμπίδης, Στατιστικής, -, 13-15, Δ22, Δευτέρα
1, ΜΑΘΗΜΑΤΙΚΟΣ ΛΟΓΙΣΜΟΣ Ι, Α. Ζυμπίδης, Στατιστικής, -, 9-11, Δ22, Πέμπτη
